Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
bn,am,28,-0.47589031,0.734235025,0.0002,-0.611235909,0.72985533,-0.94058207,0.276828836,-0.463148952,-0.558445355,0.497082323,0.5472,0.057538739
bn,ar,11,0.893309689,-0.757943343,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,az,26,-0.307412221,0.676120577,0.0001,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,ca,26,-0.307412221,0.676120577,0,0.632419405,0.72985533,-0.181902616,-0.259467152,0.025080279,-0.821689469,0.415822694,0.4961,0.503002087
bn,ceb,16,0.812313812,-0.492154851,0,0.632419405,0.72985533,-0.181902616,0.276828836,1.75140242,0.282464791,0.61394371,0.5158,-0.303019818
bn,ckb,25,-0.032739579,0.550624624,0,0.269678823,0.72985533,-0.40318887,-1.342084598,0.626822684,1.740695098,0.61394371,0.5983,-0.198718639
bn,de,26,-0.307412221,0.676120577,0,0.632419405,0.72985533,-0.181902616,-0.590926155,-0.737908685,-0.723927097,0.52038501,0.5404,0.369638183
bn,fa,22,0.369163081,0.251281522,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,fr,22,0.369163081,0.251281522,0,0.632419405,0.72985533,-0.181902616,-0.086357782,-0.25436032,-0.877117022,0.52038501,0.4753,0.491371062
bn,ha,21,0.596101316,-0.03596899,0,-1.108887671,0.72985533,-1.244169537,0.276828836,0.569632648,-0.158760911,0.442424439,0.5666,0.594078107
bn,hi,45,-2.4341834,0.988625249,0,0.632419405,0.72985533,-0.181902616,-2.368088113,-1.536577578,-2.340264992,0.464938792,0.3481,-1.629385394
bn,hu,23,0.18658229,0.410332085,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.713432181,-0.742001621,0.464938792,0.5319,0.281042123
bn,ilo,22,0.369163081,0.251281522,0.0002,-0.175037928,0.72985533,-0.674483865,0.276828836,0.609727202,-0.441013399,0.61394371,0.443,-0.524786644
bn,id,35,-1.233461489,0.893285588,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.462991308,-0.372138424,0.497082323,0.5144,-0.289613462
bn,it,32,-1.064983401,0.868208664,0,0.632419405,0.72985533,-0.181902616,-0.316081083,0.15120293,0.105972664,0.61394371,0.5625,0.383506989
bn,jv,27,-0.388408099,0.705532192,0,0.571061437,0.72985533,-0.219333429,0.276828836,0.902258285,-0.805270023,0.535125337,0.4621,-0.459463121
bn,kk,20,0.629733022,-0.091379441,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.248715858,1.676475386,0.749082798,0.5983,-0.660197772
bn,rw,7,1.039252048,-1.583557809,0,-1.276296374,0.72985533,-1.346295537,0.276828836,0.984904812,0.025788375,0.61394371,0.5182,0.36397811
bn,ky,22,0.369163081,0.251281522,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.044852683,-0.600957589,0.52038501,0.5337,-0.877991795
bn,ku,25,-0.032739579,0.550624624,0,-0.080624024,0.72985533,-0.61688761,0.276828836,-0.103151631,1.452622924,0.61394371,0.5983,-0.20033005
bn,lo,1,1.147552874,-3.717740242,0,-1.670564829,0.72985533,-1.586815055,0.276828836,0.155074455,-0.180144813,0.61394371,0.522,-1.289634542
bn,mr,48,-3.191754579,1.011313742,0.0002,0.632419405,0.72985533,-0.181902616,-2.872656486,-1.890436127,-1.652573652,0.61394371,0.3908,-1.446596085
bn,mt,8,1.016241847,-1.399947409,0,-0.905673975,0.72985533,-1.12020106,0.276828836,1.292406307,0.282464791,0.61394371,0.578,0.384163374
bn,my,2,1.105511376,-2.409172274,0,-0.236001721,0.72985533,-0.711674216,0.276828836,-0.25936077,-1.042928348,0.474804941,0.4589,-2.681598516
bn,ms,41,-1.991032668,0.965496175,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,nl,18,0.7248316,-0.274989841,0,0.632419405,0.72985533,-0.181902616,-0.316081083,-0.230254516,-0.346428731,0.61394371,0.5193,0.443669683
bn,ny,4,1.061787778,-1.800722819,0,-2.2845374,0.72985533,-1.961362866,0.276828836,1.069629264,1.932843031,0.61394371,0.5983,0.438353416
bn,om,10,0.94415347,-0.975108354,0,-2.197495376,0.72985533,-1.908263752,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,pa,40,-1.676612221,0.941909069,0,0.448880641,0.72985533,-0.293868598,-2.872656486,-1.536577578,-1.790122445,0.61394371,0.3369,-1.423721227
bn,pl,26,-0.307412221,0.676120577,0,0.632419405,0.72985533,-0.181902616,-0.749399781,-0.214517398,-0.54741105,0.415822694,0.5472,0.289957376
bn,pt,22,0.369163081,0.251281522,0,0.632419405,0.72985533,-0.181902616,-0.111625352,0.308523965,-0.177574186,0.61394371,0.4991,0.587464443
bn,ro,31,-0.675157595,0.789645475,0.0001,0.632419405,0.72985533,-0.181902616,-0.385917719,-0.048292196,-0.663493955,0.480780502,0.4997,0.217437677
bn,ru,11,0.893309689,-0.757943343,0,0.632419405,0.72985533,-0.181902616,-0.97889798,-0.419216171,-0.321723336,0.415822694,0.5962,-0.428430645
bn,sn,17,0.75477715,-0.343071793,0,-1.570983707,0.72985533,-1.52606659,0.276828836,1.04856858,0.268307643,0.61394371,0.5667,0.502111438
bn,so,9,0.992736765,-1.240896846,0,-0.990919845,0.72985533,-1.172204448,0.276828836,-0.306249248,-1.24019994,0.394187529,0.4468,0.006296979
bn,es,32,-1.064983401,0.868208664,0,0.632419405,0.72985533,-0.181902616,-0.173465968,0.188259033,-0.027239261,0.539358378,0.5849,0.562328912
bn,sw,20,0.629733022,-0.091379441,0.0002,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,sv,19,0.694042404,-0.210589839,0,0.632419405,0.72985533,-0.181902616,-0.590926155,-0.053914625,-0.424832426,0.61394371,0.4906,0.304434625
bn,ta,25,-0.032739579,0.550624624,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.955610012,-0.890819923,0.61394371,0.4661,-1.191332499
bn,te,38,-1.432728774,0.917845425,0,0.233081326,0.72985533,-0.425514807,0.276828836,-0.581141241,-2.366092386,0.321745062,0.3198,-1.521273491
bn,tg,24,0.13573851,0.446984512,0,0.632419405,0.72985533,-0.181902616,-0.97889798,0.653075918,1.752017702,0.61394371,0.5983,-0.823079811
bn,tl,30,-0.570988889,0.762262433,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.569632648,-0.552005886,0.464938792,0.461,-0.47224271
bn,th,10,0.94415347,-0.975108354,0.0001,0.632419405,0.72985533,-0.181902616,0.276828836,0.792193086,-0.818788222,0.394187529,0.4147,-1.428260984
bn,ti,2,1.105511376,-2.409172274,0,-3.121373949,0.72985533,-2.471866611,0.276828836,-0.016272375,0.037317799,0.61394371,0.5877,0.04099564
bn,tk,23,0.18658229,0.410332085,0.0001,-1.052059778,0.72985533,-1.209502251,0.276828836,-0.466609349,1.369459832,0.749082798,0.5983,-0.554131664
bn,tr,32,-1.064983401,0.868208664,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.143020119,-0.384594769,0.464938792,0.5667,0.076834956
bn,uk,22,0.369163081,0.251281522,0,0.632419405,0.72985533,-0.181902616,-0.749399781,-0.483943634,-0.30063854,0.61394371,0.5256,0.214790756
bn,ug,14,0.839984763,-0.574332943,0,-1.04197607,0.72985533,-1.203350786,0.276828836,-0.213690358,1.480891973,0.749082798,0.5983,-0.931580955
bn,uz,23,0.18658229,0.410332085,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,-0.131514787,0.61394371,0.5983,1.590962734
bn,vi,14,0.839984763,-0.574332943,0,0.632419405,0.72985533,-0.181902616,0.276828836,0.8737545,-0.262199554,0.52038501,0.5242,-1.233017769
bn,xh,4,1.061787778,-1.800722819,0,-2.349673015,0.72985533,-2.001098194,0.276828836,1.27280571,0.334053241,0.61394371,0.5552,0.643591744
bn,yo,23,0.18658229,0.410332085,0.0002,0.379281215,0.72985533,-0.33632703,0.276828836,0.848522685,-0.573193582,0.464938792,0.4464,0.685025871
bn,zu,17,0.75477715,-0.343071793,0,-1.764244316,0.72985533,-1.643963287,0.276828836,0.424773935,-0.040579468,0.538350663,0.5757,0.557237139
jv,am,66,0.235165586,0.372515896,0.00010819,-0.611235909,0.681733261,-0.903151257,0.276828836,1.146609951,-0.349967491,0.571356675,0.4308,0.503892067
jv,ar,64,0.968715047,-1.100604307,0,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,az,66,0.235165586,0.372515896,0.011468138,0.632419405,0.681733261,-0.144471802,0.276828836,1.112165341,0.403601703,0.658285164,0.611,1.590962734
jv,bn,67,-0.790310758,0.816413116,0,0.632419405,0.681733261,-0.144471802,0.276828836,0.902258285,-0.805270023,0.535125337,0.4621,-0.459463121
