Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,eus,slk,9.62,-0.205537586,0.656974007,-0.002637845,0.720431895,0.246243507,-1.494521831,1.219456429,0.019553089,0.924623261,-0.150750688,0.379893468,0.53,0.6,0.641,0.669,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,mya,7.3,0.63641711,-0.160609043,-0.568792506,-0.121604368,-0.493200748,-1.494521831,0.701454358,1.681519715,0.924623261,0.205212633,0.379893468,0.67,0.6,0.4259,0.5762,0.4,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,kor,9.86,-0.596389606,0.800795532,-1.184602431,-0.374416762,1.096144517,-1.494521831,1.814836649,0.044797338,0.924623261,-0.165649496,0.379893468,0.55,0.6,0.4601,0.6522,0.5,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,lit,9.46,0.133666601,0.456215809,0.025418111,0.673541187,-0.023180672,-1.494521831,1.030717005,0.374174431,0.924623261,-0.433991994,0.379893468,0.66,0.6,0.3217,0.5417,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,ara,10.49,-1.829196322,0.998629318,-1.147932677,-0.635515163,1.124555426,-1.494521831,1.834739312,-0.540004619,0.924623261,0.074543938,0.379893468,0.53,0.6,0.641,0.669,1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,ces,9.75,-0.42340957,0.745434732,-0.037343944,0.759703762,0.610176132,-1.494521831,1.47440175,-0.23837837,0.924623261,-0.026339168,0.379893468,0.69,0.6,0.641,0.4967,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,epo,5.92,0.69708859,-0.294254075,0.434131658,0.771608255,-1.331144239,-1.494521831,0.114450725,0.623872903,0.924623261,-0.824473036,0.379893468,0.8,0.9,0.641,0.669,0,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,fin,4.69,0.782356102,-0.529856505,0.119787116,0.684322656,-0.409202916,-1.494521831,0.760297266,0.842716668,0.924623261,-1.752705067,0.379893468,0.62,0.6,0.3498,0.5621,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,sqi,9.62,-0.205537586,0.656974007,0.490066582,1.071194923,0.01926705,-1.494521831,1.060452861,-0.288515038,0.924623261,-0.006848331,0.379893468,0.53,0.6,0.641,0.669,1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,vie,10.87,-2.607010759,1.043131936,0.70406595,1.091064635,0.970401295,-1.494521831,1.726749888,-2.770236131,0.924623261,0.322115498,0.379893468,0.69,0.6,0.4934,0.6038,0.5,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,fra,9.6,-0.023167127,0.561029165,0.1480778,0.868444296,1.048954569,-1.494521831,1.781778727,-1.52133129,0.924623261,0.244249142,0.379893468,0.6,0.6,0.3918,0.5822,0,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,est,3.82,0.88681743,-0.947103264,0.18683692,0.563964601,-0.981730049,-1.494521831,0.359225463,0.794394984,0.924623261,-1.413283801,0.379893468,0.64,0.8,0.641,0.669,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
eng,eus,mkd,9.4,0.271244678,0.340725905,-0.378063861,-0.564892049,-0.377584042,-1.494521831,0.782447202,0.015923231,0.924623261,-0.148655984,0.379893468,0.68,0.6,0.641,0.4569,0.1,0.695790216,0.246579058,0.235292506,-0.907942586,1.376389419,-1.013098878
