Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
cs,ru,69.43,-1.017235098,0.914000457,,1.873754059,2.817960742,-0.689770095,-0.499150064,-1.18661925,0.12696736,-2.104593978,0.023676003,,,,0.1923
cs,no,56.03,0.378754452,0.218026607,,1.241510192,2.817960742,-1.12626215,-0.840558589,-1.18661925,0.351250261,0.053878439,-0.058322747,,,,0.0585
cs,es,58.19,-0.185334185,0.646154437,,1.136962251,2.817960742,-1.198440542,-1.487610089,-1.18661925,0.626974873,0.354869848,0.229389,,,,0.0821
cs,ko,18.38,1.092509625,-2.949714514,,1.089662201,2.817960742,-1.231095815,1.411236708,-1.18661925,0.125571775,0.590200479,0.421851898,,,,0.4141
cs,et,52.31,0.705123674,-0.312318741,,0.749460668,2.817960742,-1.465966051,0.787207604,-1.18661925,-2.131888365,0.590200479,0.036370543,,,,0.0591
cs,pl,65.61,-0.613408078,0.813914965,,0.703254081,2.817960742,-1.497866413,0.801097958,-1.18661925,-2.007806538,-2.64109249,-0.091684996,,,,0.0165
cs,nl,57.25,0.033484377,0.519686992,,0.504323909,2.817960742,-1.635204937,-0.337975443,-1.18661925,-0.011292319,0.28033711,-0.054598585,,,,0.0373
cs,pt,58.1,-0.070944878,0.584585529,,0.525078257,2.817960742,-1.620876435,-1.07504565,-1.18661925,0.468395229,0.387188656,0.101339112,,,,0.0859
cs,la,41.35,0.86538529,-0.799010895,,0.338757432,2.817960742,-1.749509647,0.049408809,-1.18661925,-0.498436652,0.053878439,0.036370543,,,,0.0454
cs,fr,56.98,0.218492836,0.378308417,,0.251315147,2.817960742,-1.809878541,-0.597421851,-1.18661925,0.199710723,0.400393857,0.260192531,,,,0.0489
cs,de,57.21,0.12954998,0.451078002,,0.130052999,2.817960742,-1.89359618,0.416645311,-1.18661925,-1.502634885,0.136699067,0.05666859,,,,0.0117
cs,hi,28.54,1.050393749,-2.117708781,,0.161022962,2.817960742,-1.872214964,-2.08567128,-1.18661925,0.787088601,0.19748707,0.302754086,,,,0.2958
cs,ca,56.48,0.301296653,0.300840858,,0.149517012,2.817960742,-1.880158507,-1.636763242,-1.18661925,0.673252718,0.309924375,0.006486018,,,,0.0632
cs,it,60.22,-0.311785697,0.704718761,,0.044203098,2.817960742,-1.952865715,-0.916818639,-1.18661925,0.392027745,0.28033711,0.048156199,,,,0.0391
cs,en,53.43,0.646566728,-0.185851296,,0.123949994,2.817960742,-1.897809607,-1.059034404,-1.18661925,0.461127565,0.28033711,0.325018208,,,,0.0583
cs,fi,49.26,0.760956035,-0.453697316,,0.034221368,2.817960742,-1.959756957,1.471043869,-1.18661925,0.233110186,0.590200479,0.075119261,,,,0.0882
cs,bg,66.39,-0.798416536,0.865000571,,-0.363406583,2.817960742,-2.234273565,0.573460789,-1.18661925,-2.713631687,-1.055766477,0.048156199,,,,0.0523
cs,sl,72.28,-2.116948288,1.05003234,,-0.462645896,2.817960742,-2.302786957,0.939384218,-1.18661925,-1.171686307,-1.448332833,-0.307829001,,,,0.0201
cs,sk,72.54,-2.948849201,1.092153523,,-0.427488318,2.817960742,-2.278514672,1.152921784,-1.18661925,-0.444500499,-4.678743551,0.30409949,,,,0.0153
cs,ro,61.38,-0.453146461,0.760558157,,-0.534291076,2.817960742,-2.352249757,0.163514759,-1.18661925,-0.715733738,0.243839465,0.048156199,,,,0.0389
cs,hr,70.88,-1.630317449,1.006379146,,-0.686027734,2.817960742,-2.457006559,0.734470446,-1.18661925,-2.762624573,-0.792071687,0.48897532,,,,0.0267
cs,ar,37.25,0.914379004,-1.017857028,,-0.835972599,2.817960742,-2.560526333,-0.898723408,-1.18661925,0.382603958,0.590200479,0.30409949,,,,1
cs,lv,53.61,0.585005577,-0.071447576,,-0.934988279,2.817960742,-2.628885332,1.20895374,-1.18661925,-0.301859888,-1.448332833,-0.054598585,,,,0.0491
cs,he,36.05,0.961450893,-1.285703049,,-1.096068136,2.817960742,-2.740092544,-0.619437084,-1.18661925,0.214992392,0.590200479,0.210878637,,,,0.1331
cs,uk,69.55,-1.285047375,0.961078277,,-1.24989735,2.817960742,-2.846294017,1.589955549,-1.18661925,0.42889551,-1.448332833,-0.219120412,,,,0.0351
cs,id,44.24,0.814306121,-0.613979125,,-1.263853054,2.817960742,-2.855928834,0.525274709,-1.18661925,-2.18680222,0.590200479,0.446468748,,,,0.5476
cs,da,55.36,0.451514869,0.129072545,,-1.287183995,2.817960742,-2.872036179,0.592216931,-1.18661925,-3.009829063,0.136699067,0.093858408,,,,0.0339
cs,sv,53.67,0.520115216,0.032994838,,-1.32474757,2.817960742,-2.89796953,0.487224407,-1.18661925,-1.896111701,0.136699067,0.08867702,,,,0.0556
cs,zh,35.64,1.006746054,-1.631016627,,-1.411973294,2.817960742,-2.958188913,0.307574441,-1.18661925,-1.087617054,0.590200479,0.30409949,,,,1
ru,cs,69.33,-2.116948288,1.05003234,,2.821498253,2.007757892,0.534788969,-1.157382288,-0.611164061,0.640700722,-1.055766477,0.023676003,,,,0.1923
ru,no,52.52,0.520115216,0.032994838,,1.241510192,2.007757892,-0.556012022,-0.840558589,-0.611164061,0.527365746,0.053878439,0.214932869,,,,0.1847
ru,es,55.98,0.033484377,0.519686992,,1.136962251,2.007757892,-0.628190413,-1.487610089,-0.611164061,0.734224587,0.354869848,-0.245924551,,,,0.2742
ru,ko,18.65,1.092509625,-2.949714514,,1.089662201,2.007757892,-0.660845687,1.411236708,-0.611164061,-0.787761644,0.590200479,0.064868201,,,,0.2272
ru,et,53.59,0.378754452,0.218026607,,0.749460668,2.007757892,-0.895715923,0.787207604,-0.611164061,-1.492109951,0.590200479,0.023676003,,,,0.1505
ru,pl,61.85,-0.613408078,0.813914965,,0.703254081,2.007757892,-0.927616285,0.801097958,-0.611164061,-1.558344735,-1.448332833,-0.18997029,,,,0.1763
ru,nl,56.05,-0.070944878,0.584585529,,0.504323909,2.007757892,-1.064954808,-0.337975443,-0.611164061,0.274875442,0.28033711,0.10056701,,,,0.2171
ru,pt,54.02,0.301296653,0.300840858,,0.525078257,2.007757892,-1.050626306,-1.07504565,-0.611164061,0.61378164,0.387188656,-0.095210328,,,,0.2778
ru,la,39.6,0.914379004,-1.017857028,,0.338757432,2.007757892,-1.179259519,0.049408809,-0.611164061,-0.025151673,0.053878439,0.325018208,,,,0.2255
ru,fr,55.53,0.12954998,0.451078002,,0.251315147,2.007757892,-1.239628412,-0.597421851,-0.611164061,0.418990055,0.400393857,-0.078539833,,,,0.2382
ru,de,56.17,-0.185334185,0.646154437,,0.130052999,2.007757892,-1.323346052,0.416645311,-0.611164061,-0.489006453,0.136699067,-0.348498591,,,,0.2039
ru,hi,28.19,1.050393749,-2.117708781,,0.161022962,2.007757892,-1.301964836,-2.08567128,-0.611164061,0.859622567,0.19748707,-0.103469148,,,,0.1618
ru,ca,53.02,0.451514869,0.129072545,,0.149517012,2.007757892,-1.309908378,-1.636763242,-0.611164061,0.77008947,0.309924375,0.133406355,,,,0.2546
ru,it,56.68,-0.311785697,0.704718761,,0.044203098,2.007757892,-1.382615586,-0.916818639,-0.611164061,0.557192026,0.28033711,0.06460441,,,,0.221
ru,en,51.88,0.646566728,-0.185851296,,0.123949994,2.007757892,-1.327559479,-1.059034404,-0.611164061,0.608355722,0.28033711,-0.122822307,,,,0.2316
ru,fi,48.6,0.760956035,-0.453697316,,0.034221368,2.007757892,-1.389506829,1.471043869,-0.611164061,-0.598382426,0.590200479,-0.515222654,,,,0.1415
ru,bg,61.89,-0.798416536,0.865000571,,-0.363406583,2.007757892,-1.664023437,0.573460789,-0.611164061,-0.798849612,-1.055766477,-0.223928471,,,,0.1796
ru,sl,63.98,-1.285047375,0.961078277,,-0.462645896,2.007757892,-1.732536828,0.939384218,-0.611164061,-2.621389094,-1.448332833,-0.236179779,,,,0.2038
ru,sk,62.46,-1.017235098,0.914000457,,-0.427488318,2.007757892,-1.708264543,1.152921784,-0.611164061,-2.200504242,-1.448332833,0.086859208,,,,0.1843
ru,ro,59.13,-0.453146461,0.760558157,,-0.534291076,2.007757892,-1.781999628,0.163514759,-0.611164061,-0.143373823,0.243839465,-0.141826457,,,,0.1729
ru,hr,65.32,-1.630317449,1.006379146,,-0.686027734,2.007757892,-1.886756431,0.734470446,-0.611164061,-1.272777603,-0.792071687,0.582941581,,,,0.2005
ru,ar,36.46,0.961450893,-1.285703049,,-0.835972599,2.007757892,-1.990276205,-0.898723408,-0.611164061,0.55027466,0.590200479,0.086859208,,,,1
ru,lv,54.69,0.218492836,0.378308417,,-0.934988279,2.007757892,-2.058635203,1.20895374,-0.611164061,-1.740034191,-1.448332833,-0.034423842,,,,0.1495
ru,he,39.76,0.86538529,-0.799010895,,-1.096068136,2.007757892,-2.169842416,-0.619437084,-0.611164061,0.429738895,0.590200479,-0.318747258,,,,0.195
ru,uk,69.6,-2.948849201,1.092153523,,-1.24989735,2.007757892,-2.276043888,1.589955549,-0.611164061,-0.28213172,-2.64109249,-0.538105102,,,,0.1673
ru,id,48.09,0.814306121,-0.613979125,,-1.263853054,2.007757892,-2.285678705,0.525274709,-0.611164061,-0.692292478,0.590200479,0.19816668,,,,0.3823
ru,da,52.3,0.585005577,-0.071447576,,-1.287183995,2.007757892,-2.30178605,0.592216931,-0.611164061,-0.843747931,0.136699067,0.133406355,,,,0.1969
ru,sv,51.71,0.705123674,-0.312318741,,-1.32474757,2.007757892,-2.327719401,0.487224407,-0.611164061,-0.615889857,0.136699067,0.076951648,,,,0.1651
ru,zh,34.69,1.006746054,-1.631016627,,-1.411973294,2.007757892,-2.387938785,0.307574441,-0.611164061,-0.322679503,0.590200479,0.086859208,,,,1
no,cs,61.16,0.378754452,0.218026607,,2.821498253,1.196557603,1.105741132,-1.157382288,-1.224840036,0.493745923,0.136699067,-0.058322747,,,,0.0585
no,ru,62.73,0.218492836,0.378308417,,1.873754059,1.196557603,0.451432196,-0.499150064,-1.224840036,0.107369951,-0.066060666,0.214932869,,,,0.1847
no,es,63.41,-0.185334185,0.646154437,,1.136962251,1.196557603,-0.057238251,-1.487610089,-1.224840036,0.618798497,0.354869848,0.293075798,,,,0.1153
no,ko,16.34,1.092509625,-2.949714514,,1.089662201,1.196557603,-0.089893524,1.411236708,-1.224840036,0.170929799,0.590200479,0.457009277,,,,0.3892
no,et,54.56,0.705123674,-0.312318741,,0.749460668,1.196557603,-0.32476376,0.787207604,-1.224840036,-1.918520601,0.590200479,0.235742481,,,,0.0359
no,pl,58.08,0.646566728,-0.185851296,,0.703254081,1.196557603,-0.356664122,0.801097958,-1.224840036,-1.812867086,0.053878439,0.215171006,,,,0.0526
no,nl,65.6,-0.798416536,0.865000571,,0.504323909,1.196557603,-0.494002646,-0.337975443,-1.224840036,-0.03502171,-0.458774075,-0.197834463,,,,0.047
no,pt,63.03,0.033484377,0.519686992,,0.525078257,1.196557603,-0.479674143,-1.07504565,-1.224840036,0.457113856,0.387188656,0.099279272,,,,0.1109
no,la,43.69,0.86538529,-0.799010895,,0.338757432,1.196557603,-0.608307356,0.049408809,-1.224840036,-0.541427825,0.053878439,-0.184646597,,,,0.1009
no,fr,65.42,-0.613408078,0.813914965,,0.251315147,1.196557603,-0.66867625,-0.597421851,-1.224840036,0.182096348,0.400393857,0.201054507,,,,0.0715
no,de,66.53,-1.285047375,0.961078277,,0.130052999,1.196557603,-0.752393889,0.416645311,-1.224840036,-1.625006455,-1.055766477,0.025302704,,,,0.0636
no,hi,29.05,1.050393749,-2.117708781,,0.161022962,1.196557603,-0.731012673,-2.08567128,-1.224840036,0.781646454,0.19748707,0.322806917,,,,0.3173
no,ca,60.37,0.451514869,0.129072545,,0.149517012,1.196557603,-0.738956215,-1.636763242,-1.224840036,0.665905556,0.309924375,-0.391765081,,,,0.1031
no,it,65.94,-1.017235098,0.914000457,,0.044203098,1.196557603,-0.811663423,-0.916818639,-1.224840036,0.379093048,0.28033711,0.11898638,,,,0.0946
no,en,72.48,-2.116948288,1.05003234,,0.123949994,1.196557603,-0.756607316,-1.059034404,-1.224840036,0.44969349,-0.458774075,0.142441321,,,,0.0513
no,fi,47.95,0.814306121,-0.613979125,,0.034221368,1.196557603,-0.818554666,1.471043869,-1.224840036,0.275724085,0.590200479,0.201054507,,,,0.0478
no,bg,63.95,-0.311785697,0.704718761,,-0.363406583,1.196557603,-1.093071274,0.573460789,-1.224840036,-3.123455897,0.136699067,0.11898638,,,,0.1054
no,sl,61.87,0.301296653,0.300840858,,-0.462645896,1.196557603,-1.161584666,0.939384218,-1.224840036,-1.06515191,0.053878439,0.003463858,,,,0.078
no,sk,58.74,0.585005577,-0.071447576,,-0.427488318,1.196557603,-1.13731238,1.152921784,-1.224840036,-0.379787352,0.053878439,0.43789969,,,,0.0696
no,ro,63.33,-0.070944878,0.584585529,,-0.534291076,1.196557603,-1.211047466,0.163514759,-1.224840036,-0.77037365,0.243839465,0.199370631,,,,0.0888
no,hr,62.98,0.12954998,0.451078002,,-0.686027734,1.196557603,-1.315804268,0.734470446,-1.224840036,-2.426597293,0.19748707,0.374125851,,,,0.0853
no,ar,37.32,1.006746054,-1.631016627,,-0.835972599,1.196557603,-1.419324042,-0.898723408,-1.224840036,0.369457596,0.590200479,0.43789969,,,,1
no,lv,59.73,0.520115216,0.032994838,,-0.934988279,1.196557603,-1.48768304,1.20895374,-1.224840036,-0.242860971,-0.255867289,0.358442404,,,,0.0451
no,he,39.59,0.961450893,-1.285703049,,-1.096068136,1.196557603,-1.598890253,-0.619437084,-1.224840036,0.197778967,0.590200479,0.263191568,,,,0.1853
no,uk,64.3,-0.453146461,0.760558157,,-1.24989735,1.196557603,-1.705091725,1.589955549,-1.224840036,0.467096308,0.053878439,0.11898638,,,,0.0803
no,id,52.98,0.760956035,-0.453697316,,-1.263853054,1.196557603,-1.714726542,0.525274709,-1.224840036,-2.427007627,0.590200479,0.315930688,,,,0.5622
no,da,68.94,-1.630317449,1.006379146,,-1.287183995,1.196557603,-1.730833888,0.592216931,-1.224840036,-3.573431784,-1.901491133,0.124568768,,,,0.0286
no,sv,72.67,-2.948849201,1.092153523,,-1.32474757,1.196557603,-1.756767238,0.487224407,-1.224840036,-2.076421392,-1.901491133,-0.238447785,,,,0.0206
