Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,bxr,25.88,-0.383284594,0.756007041,0.000840336,-1.262667107,0.632667912,-1.396514971,0.594078182,-3.505268353,2.621342865,0.422132886,-7.254351635,0.7616,0.0002,0.6737,0.4976
pcm,kmr,28.25,-0.905959169,0.896797794,0.01512605,-1.411374383,0.632667912,-1.518160907,0.336384322,-3.505268353,2.085086593,-0.332374194,0.194733451,0.6285,0.5456,0.4975,0.2466
pcm,hsb,26.42,-0.614193059,0.828603708,0.022689076,-1.522668683,0.632667912,-1.609202176,0.532677047,-3.505268353,2.498411585,-0.608284632,-7.254351635,0.7616,0.0002,0.6737,0.2356
pcm,kk,31.11,-1.302604883,0.961092889,0.000840336,-1.154024756,0.632667912,-1.307643057,0.610158789,-3.505268353,2.653140617,0.422132886,0.38084066,1,0.879,0.6737,0.3473
pcm,hy,29.66,-1.023126909,0.918640382,0.000840336,-1.620394233,0.632667912,-1.689143899,0.538666368,-3.505268353,2.510514727,-1.203388694,-0.05581593,0.6822,0.6162,0.4726,0.2621
pcm,swl,10.52,0.716115514,-0.274689847,0.000840336,-2.356041951,0.632667912,-2.290920468,0.470083725,-3.505268353,2.370324203,0.422132886,-7.254351635,0.7616,0.0002,0.6737,0.2783
pcm,lt,29.67,-1.154109298,0.940066895,0.010084034,-2.169620395,0.632667912,-2.138423395,0.557075778,-3.505268353,2.547560312,-1.203388694,0.060953666,0.6677,0.641,0.5129,0.2672
pcm,be,0.36,1.067903178,-2.746255319,0.000840336,-1.880461018,0.632667912,-1.901884446,0.543622809,-3.505268353,2.520511604,-0.838719606,0.237867305,1,0.0002,0.6737,0.2603
pcm,mr,23.02,-0.135134465,0.651293541,0.001680672,-1.757804127,0.632667912,-1.801548318,0.518209078,-3.505268353,2.46906892,-0.449164142,0.14281965,0.5809,0.0002,0.4608,0.3915
pcm,cop,13.81,0.487194654,0.138948285,0.002521008,-1.687224999,0.632667912,-1.743812986,0.478168551,-3.505268353,2.387041051,0.422132886,0.153092308,1,0.0002,0.6737,0.1782
