Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
hin,eng,17.8,1.079011252,-2.432928866,-1.489359247,-1.493036061,-0.988872024,0.30637928,0.539154264,0.40145045,0.860411412,2.600219101,0.766063941,1.642215165,1.326040639,1.144973165,1.020235631,0.4,0.9,0.4684,0.59,0.3433,0.5
eng,dan,30.9,1.833330857,-1.89899978,-1.770149138,-0.981556571,-1.819725099,1.135600159,1.403799557,1.883475734,1.292114556,0.979933464,0.745478235,1.858163056,1.788318412,1.794690456,1.796423383,0,0.7,0.5983,0.5,0.5687,0.7
vie,eng,20.2,2.906594215,-3.184134851,-2.347862572,-2.417384386,-2.101727155,2.02586704,4.060417053,2.303649011,4.589339685,2.468274091,1.44904816,3.193941821,2.9836109,2.917733918,2.936401977,0.5,1,0.455,0.57,0.427,0.5
vie,ind,14.7,0.536278796,-1.982178487,-0.807681488,-0.971619313,-0.557254932,-0.165244778,0.85134595,0.241706842,0.680057536,2.233065477,0.983952153,1.071240194,0.874625837,0.7325374,0.629232332,0.1,1,0.5107,0.36,0.3277,0.4
vie,por,13,0.980692786,-2.3030364,-1.123258724,-1.269636279,-1.167426775,0.086163074,1.100905285,0.697198347,0.781027279,2.108399518,1.293762046,1.423474332,1.193245785,1.202571764,1.139147428,0.5,1,0.4546,0.57,0.5456,0.5
vie,ara,4.2,0.004408424,-2.063384074,-0.380772479,0.032288861,-0.310636957,-1.022164298,0.133095083,0.341898288,-0.153395725,2.082986354,0.726763838,0.568551887,0.337697672,0.200788363,0.202620979,1,1,0.6153,0.66,0.5456,0.6
vie,mkd,6.9,-0.57856461,-1.821889513,0.136410294,0.074999465,0.363373017,-1.606973781,-0.171986002,-0.324190128,-0.143799801,2.034853555,0.9206402,0.049113001,-0.155562626,-0.25311279,-0.326944624,0.4,1,0.5611,0.58,0.5456,0.6
vie,ell,8.8,-0.254018125,-1.877845326,-0.157695386,-0.153613115,-0.25837057,-1.235885481,-0.087401748,-0.000532189,-0.213555371,1.997623084,1.149628818,0.320931099,0.10020405,0.090886499,0.144612048,0.4,1,0.59,0.66,0.4788,0.6
vie,ita,10.7,0.510833129,-1.953845754,-0.662049754,-0.9348034,-0.758032818,-0.282747685,0.860383697,0.325515445,0.516072353,1.97386596,1.18379894,0.978865155,0.762145446,0.764592151,0.742156562,0.4,1,0.5227,0.61,0.5456,0.6
vie,ron,8.5,0.032427052,-1.934059839,-0.400606754,-0.523044329,-0.330839171,-0.915583991,0.145203763,0.037929712,-0.079966266,1.962598643,1.132298734,0.560251234,0.356728195,0.335031953,0.23900197,0.4,1,0.5328,0.63,0.4934,0.6
vie,glg,6.5,-0.557030517,-1.526967531,0.186925778,-0.264247603,0.368284825,-1.372542828,-0.142448955,-0.573563049,-0.233113454,1.875586759,1.003037575,0.024639082,-0.187233363,-0.212075259,-0.355670485,0.5,1,0.5328,0.73,0.5456,0.6
spa,glg,30.1,2.234752776,-2.240153605,-2.482754506,-1.981726734,-2.432403708,1.731146205,1.555438609,1.842246805,1.503915341,1.853573139,1.552606804,2.4437055,2.39319973,2.36215377,2.339151365,0,0.1538,0.3847,0.62,0.5922,0.5
vie,spa,13.7,0.944298545,-2.010272701,-0.950983649,-1.189293615,-0.997481716,0.187547295,1.203009462,0.673147816,0.892672262,1.823954566,1.177266845,1.314744661,1.085619665,1.139384077,1.036009345,0.5,1,0.566,0.62,0.4788,0.6
vie,fra,13.2,0.682657108,-2.080497136,-0.766998778,-1.210194754,-0.712518638,-0.233329046,0.908938605,0.310739322,1.055200325,1.818045215,1.201426833,1.085872228,0.858524855,0.918637206,0.856202502,0.5,1,0.5018,0.61,0.5354,0.5
spa,eng,33.2,4.271584177,-3.20771688,-3.222197263,-3.088668104,-3.013558623,3.571139727,6.189792745,3.512703622,6.456414964,1.811031337,1.414827116,4.201430497,4.266436516,4.094260434,4.175857971,0.1,0.9,0.5481,0.4,0.3433,0.5
fra,eng,31.6,4.030058927,-3.112154393,-2.930896788,-2.923835805,-2.626351216,3.332665322,6.39067585,3.343219355,6.727846945,1.80996376,1.425481623,3.991344307,4.092306549,3.887328904,3.94561068,0,0.9,0.4753,0.46,0.427,0.5
vie,srp,1.7,-0.606539371,-1.571371213,0.237855537,0.772323462,0.385947323,-1.519861804,-0.168540102,0.079215456,-0.288822569,1.782151416,0.439865101,-0.043697376,-0.234707886,-0.407708953,-0.385116144,0.4,1,0.6153,0.72,0.8691,0.8
vie,slv,4.6,-0.787305782,-1.447940095,0.425714534,0.713061442,0.626583145,-1.654367394,-0.216360859,-0.220164016,-0.292375017,1.77190385,0.43846998,-0.20349525,-0.396351047,-0.565123313,-0.576123672,0.4,1,0.5303,0.62,0.5456,0.6
vie,dan,8.5,-0.365703162,-1.65382404,0.040826313,0.079466235,0.284908867,-1.276348567,-0.041773831,-0.22268527,-0.130813903,1.768651223,0.4694855,0.161840794,-0.043859741,-0.190461197,-0.26137233,0.4,1,0.6153,0.66,0.5456,0.8
ita,eng,30,3.720185381,-2.920910569,-2.971967081,-2.915065126,-2.884239238,3.071951822,5.294369628,3.002684636,5.139193182,1.765496676,1.59115587,3.710122417,3.819726644,3.663033068,3.707286686,0.1,0.9,0.5064,0.51,0.5687,0.5
spa,por,27.6,2.727350506,-2.400446895,-2.576536021,-2.24307196,-2.580055805,2.203593867,2.814601322,2.256371428,2.724217776,1.746890079,1.529396116,2.842668995,2.817571661,2.783795377,2.795236017,0,0.2667,0.4797,0.4,0.5922,0.5
vie,hrv,4.9,-0.826078607,-1.336733909,0.523120037,0.836789567,0.651477494,-1.621155443,-0.102277186,-0.187517972,-0.289532804,1.731225949,0.369119807,-0.248202865,-0.441525197,-0.617600666,-0.594990905,0.4,1,0.566,0.74,0.5456,0.7
fra,ita,24.6,2.470345159,-2.141515966,-2.338012532,-2.069385066,-2.352115238,2.08866545,2.853602999,2.071431224,2.715923561,1.730441411,1.53357683,2.614966287,2.640077825,2.561661455,2.612934189,0,0.5625,0.4379,0.55,0.5456,0.5
por,eng,35,3.894680239,-3.082065214,-3.238864666,-3.153506524,-3.038943403,3.133237084,4.871345783,2.992313132,5.222162081,1.704859068,1.529706301,3.845254793,3.912784264,3.797967774,3.852531678,0.1,0.9,0.4235,0.47,0.5687,0.5
spa,ita,23.8,2.347187098,-2.086200543,-2.257196421,-2.016052148,-2.308926643,1.959837521,2.446886121,1.958104953,2.455097109,1.698330919,1.542458211,2.499281614,2.46310797,2.457077911,2.506267692,0.1,0.4615,0.5037,0.47,0.5922,0.5
fas,eng,16.7,1.40293995,-2.046815224,-1.56531931,-1.598494898,-1.119759758,0.701541543,0.742891566,0.86236029,1.936088034,1.653440106,1.052983987,1.66690712,1.442703818,1.504135636,1.422847045,1,1,0.5983,0.57,0.5687,0.6
vie,bul,7.5,-0.514331353,-1.678033232,0.256344327,0.16266098,0.367651153,-1.549047558,-0.066535452,-0.320285597,-0.21216206,1.651215954,0.531905728,0.000899361,-0.2209278,-0.302661831,-0.349341386,0.4,1,0.552,0.58,0.4407,0.6
eng,ita,29.5,3.720185381,-2.91177623,-2.884485604,-2.924202666,-2.97171405,3.006096103,5.139124447,3.068501668,5.294439851,1.589312014,1.767426955,3.662356642,3.70745713,3.710803903,3.819551511,0.1,0.9,0.5064,0.51,0.5687,0.5
fra,spa,26.4,2.703960756,-2.323432113,-2.440881397,-2.2262893,-2.397834247,2.173918388,3.175918028,2.243227116,3.031147444,1.582710616,1.536391109,2.77784087,2.810979182,2.765371818,2.736732309,0,0.4375,0.5804,0.41,0.4788,0.5
vie,rus,7.2,0.316578451,-1.913208618,-0.341651214,0.213120314,-0.566690584,-0.678726364,0.701096136,0.728410596,0.216483849,1.568185881,0.247382374,0.700144432,0.464833532,0.342062112,0.507716156,0.2,1,0.6154,0.66,0.4407,0.6
vie,ukr,6.7,-0.293625233,-1.47421337,0.101090611,0.587880913,0.0681729,-1.098276822,0.119028017,0.209254895,-0.188550601,1.566451696,0.149704535,0.169631331,-0.046708417,-0.214508439,-0.106288194,0.4,1,0.5227,0.61,0.5456,0.6
eng,ara,11.9,2.82156229,-2.641355571,-2.478359473,-1.691619776,-2.853129624,2.026986891,3.186546465,2.752653716,2.354129311,1.554086929,1.197097447,2.872233196,2.843529909,2.775583969,2.90791075,1,1,0.5983,0.57,0.5687,0.6
fra,por,24.2,2.128864364,-2.086219523,-2.15548828,-1.869158578,-2.116806335,1.602746765,2.048906033,1.710475184,1.85929447,1.551064422,1.332532881,2.26971361,2.272071908,2.210524132,2.188805539,0,0.4375,0.3947,0.46,0.5456,0.5
glg,spa,34.4,2.234752776,-1.978764883,-2.432615652,-2.243207079,-2.482538742,1.844976162,1.503881457,1.728483719,1.555472988,1.550781848,1.855546622,2.361615149,2.339264671,2.444252818,2.393084171,0,0.1538,0.3847,0.62,0.5922,0.5
ron,eng,25,2.274371359,-1.958546752,-2.471533481,-2.297753787,-2.311414664,1.917065412,1.702763198,1.539582662,1.763692345,1.550498145,1.399638029,2.395952236,2.425327385,2.355115689,2.315882245,0.1,0.9,0.4997,0.53,0.3498,0.5
