Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
ara,bul,4.9,54919,0.121615834,0.00329323,0.104480175,0.003375776,110182,5457,102207,5670,16.49673155,17.81246927,905984,1657036,978243,1679614,1,1,0.6416,0.61,0.6162,0.6
ara,bos,1.8,34137,0.157776886,0.005189526,0.173850736,0.005192576,84907,5270,93168,5305,15.76430266,15.6987433,538146,1015507,535908,1021651,1,1,0,0.7,0.0002,0.8
ara,ces,3,67131,0.120009794,0.002782175,0.130947846,0.002684125,129886,5517,138522,5625,16.12213433,15.75786149,1082295,1982981,1057841,2095655,1,1,0.6784,0.66,0.0002,0.7
ara,dan,4.5,53021,0.128496045,0.003461993,0.108940999,0.003718953,110650,5429,96837,5556,16.24103657,16.76494219,861116,1568172,888894,1493969,1,1,0,0.66,0.0002,0.8
ara,deu,3.8,99258,0.113677552,0.002061845,0.09967565,0.002079523,169109,5616,157711,5864,14.98740656,15.94069999,1487620,2723774,1582242,2819877,1,1,0.6153,0.58,0.5456,0.6
ara,ell,6.7,66961,0.110593638,0.002462708,0.089101143,0.002129226,135379,5513,124471,5558,18.28096952,20.86233778,1224112,2238593,1396963,2610338,1,1,0.6929,0.54,0.5922,0.6
ara,eng,20.3,999762,0.034895493,0.000266342,0.020193735,0.000348627,802682,10863,510280,13409,23.00793089,25.27523851,23002455,40785865,25269223,38462310,1,1,0.5983,0.57,0.5687,0.6
ara,epo,4.1,37130,0.148490796,0.004801131,0.132072558,0.004847209,89353,5351,85536,5442,16.20632911,17.44260706,601741,1114529,647644,1122708,1,1,0,0.74,0.0002,0.9
ara,spa,13.2,174557,0.080228417,0.001027846,0.04396619,0.001104064,265310,6203,175522,6749,18.9447172,22.8704893,3306933,6034948,3992204,6112871,1,1,0.6832,0.56,0.5922,0.6
ara,fra,12.2,163549,0.081558945,0.001235224,0.042451696,0.001120953,251924,6944,162491,7226,18.8864377,23.40379947,3088858,5621654,3827668,6446298,1,1,0.6025,0.57,0.5456,0.6
ara,fra,9,,,,,,,,,,,,,,,,1,1,0.6025,0.57,0.5456,0.6
ara,glg,5.6,50528,0.131869198,0.003344191,0.084158561,0.003411008,115495,5425,83447,5503,17.33355763,19.623674,875830,1622216,991545,1613306,1,1,0.6552,0.72,0.0002,0.7
ara,heb,3.5,68302,0.114635248,0.002772808,0.117486014,0.002786771,127429,5590,125693,5550,16.27483822,15.66359697,1111604,2016007,1069855,1991552,1,1,0.7028,0.54,0.0002,0.7
ara,hrv,2.2,38853,0.144346382,0.00450477,0.159071509,0.004206428,92800,5345,103424,5402,16.54693331,16.73417754,642898,1186520,650173,1284225,1,1,0.6832,0.87,0.0002,0.8
ara,hun,2.7,60661,0.128015982,0.003210535,0.164387054,0.003365106,118615,5464,148298,5869,15.2744597,14.87161438,926564,1701897,902127,1744076,1,1,0.6461,0.55,0.5922,0.6
