Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
vie,bul,7.5,-0.514331353,-1.678033232,0.256344327,0.16266098,0.367651153,-1.549047558,-0.066535452,-0.320285597,-0.21216206,1.651215954,0.531905728,0.000899361,-0.2209278,-0.302661831,-0.349341386,0.4,1,0.552,0.58,0.4407,0.6
vie,dan,8.5,-0.365703162,-1.65382404,0.040826313,0.079466235,0.284908867,-1.276348567,-0.041773831,-0.22268527,-0.130813903,1.768651223,0.4694855,0.161840794,-0.043859741,-0.190461197,-0.26137233,0.4,1,0.6153,0.66,0.5456,0.8
vie,deu,6,0.160321233,-1.475637808,-0.212999422,0.114726594,-0.145298038,-0.648960044,0.325560526,0.346028452,0.005331229,1.180656185,0.056130439,0.459350337,0.258766436,0.154486823,0.11621845,0.4,1,0.4648,0.72,0.4601,0.6
vie,ell,8.8,-0.254018125,-1.877845326,-0.157695386,-0.153613115,-0.25837057,-1.235885481,-0.087401748,-0.000532189,-0.213555371,1.997623084,1.149628818,0.320931099,0.10020405,0.090886499,0.144612048,0.4,1,0.59,0.66,0.4788,0.6
ron,eng,25,2.274371359,-1.958546752,-2.471533481,-2.297753787,-2.311414664,1.917065412,1.702763198,1.539582662,1.763692345,1.550498145,1.399638029,2.395952236,2.425327385,2.355115689,2.315882245,0.1,0.9,0.4997,0.53,0.3498,0.5
rus,eng,18.7,3.426827326,-1.618021479,-3.199752713,-2.664809644,-2.843719887,3.507838147,3.442822186,2.693769543,3.925108087,0.884311074,1.249762268,3.216401998,3.484461988,3.315665316,3.337529598,0.2,0.9,0.5594,0.49,0.2804,0.5
slk,eng,16.9,0.772800827,-0.026725367,-1.0051003,-1.168518052,-0.831375551,1.090685315,0.088161386,0.243119224,0.295680614,0.168986895,0.660610087,0.717094531,0.818182879,0.850381748,0.7387586,0.1,0.9,0.5983,0.57,0.5687,0.6
srp,eng,22.8,1.717285204,-0.517314615,-2.04335069,-1.90232908,-1.606919598,2.224686806,1.023195564,1.093444006,1.766649195,0.906996794,1.25974631,1.737587987,1.898155709,1.833249364,1.76039694,0.1,0.9,0.5983,0.62,0.8632,0.8
swe,eng,31.8,2.10176407,-0.863436741,-2.131559904,-1.721459819,-1.743931371,2.310083404,1.388031988,1.694194639,2.512155565,0.636037525,1.057086874,1.998098638,2.069311541,2.112333422,2.075990238,0.1,0.7,0.5242,0.42,0.5687,0.5
tur,eng,15.9,1.942064413,-0.850405622,-1.925480689,-1.794643215,-1.481869476,2.009845411,1.261014869,1.33646274,2.55181982,0.407171636,0.880142522,1.797329988,1.871247482,1.925645066,1.880086477,0.1,1,0.5183,0.7,0.3433,0.6
